===========================
File valve_0001_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01952
  Segment 1: type=complex, RMSE=0.01737
  Segment 2: type=complex, RMSE=0.02223
  Segment 3: type=tube, RMSE=0.01386
  Segment 5: type=complex, RMSE=0.02274
  Segment 6: type=complex, RMSE=0.02535
  Segment 7: type=tube, RMSE=0.01188
  Segment 9: type=sphere, RMSE=0.01522
File valve_0002_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01932
  Segment 1: type=complex, RMSE=0.02382
  Segment 2: type=complex, RMSE=0.02543
  Segment 3: type=plane, RMSE=0.01329
  Segment 5: type=tube, RMSE=0.02089
  Segment 6: type=complex, RMSE=0.02885
  Segment 7: type=tube, RMSE=0.02315
  Segment 9: type=complex, RMSE=0.01824
File valve_0003_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01803
  Segment 1: type=complex, RMSE=0.02336
  Segment 2: type=tube, RMSE=0.01377
  Segment 3: type=plane, RMSE=0.01658
  Segment 4: type=plane, RMSE=0.01645
  Segment 5: type=complex, RMSE=0.02016
  Segment 6: type=complex, RMSE=0.02868
  Segment 7: type=tube, RMSE=0.02461
  Segment 9: type=complex, RMSE=0.01732
File valve_0004_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01802
  Segment 1: type=complex, RMSE=0.02036
  Segment 2: type=tube, RMSE=0.01218
  Segment 3: type=plane, RMSE=0.01667
  Segment 5: type=complex, RMSE=0.01957
  Segment 6: type=complex, RMSE=0.02554
  Segment 7: type=tube, RMSE=0.01602
  Segment 9: type=sphere, RMSE=0.01579
File valve_0005_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01652
  Segment 1: type=complex, RMSE=0.01951
  Segment 2: type=tube, RMSE=0.01387
  Segment 3: type=tube, RMSE=0.01324
  Segment 4: type=complex, RMSE=0.01808
  Segment 6: type=complex, RMSE=0.02508
  Segment 7: type=tube, RMSE=0.01479
  Segment 8: type=plane, RMSE=0.01143
  Segment 9: type=complex, RMSE=0.01484
File valve_0006_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01828
  Segment 1: type=complex, RMSE=0.02004
  Segment 2: type=complex, RMSE=0.02085
  Segment 3: type=tube, RMSE=0.01997
  Segment 4: type=plane, RMSE=0.01869
  Segment 5: type=complex, RMSE=0.02371
  Segment 6: type=complex, RMSE=0.02792
  Segment 7: type=tube, RMSE=0.02220
  Segment 9: type=sphere, RMSE=0.01583
File valve_0007_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01889
  Segment 1: type=complex, RMSE=0.02422
  Segment 2: type=tube, RMSE=0.01588
  Segment 3: type=plane, RMSE=0.01555
  Segment 4: type=complex, RMSE=0.03006
  Segment 5: type=complex, RMSE=0.02539
  Segment 6: type=complex, RMSE=0.03559
  Segment 7: type=tube, RMSE=0.01845
  Segment 9: type=complex, RMSE=0.01703
File valve_0008_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01867
  Segment 1: type=complex, RMSE=0.01695
  Segment 2: type=tube, RMSE=0.01388
  Segment 3: type=tube, RMSE=0.01338
  Segment 4: type=complex, RMSE=0.01791
  Segment 5: type=complex, RMSE=0.02219
  Segment 6: type=complex, RMSE=0.02797
  Segment 7: type=complex, RMSE=0.01907
  Segment 8: type=complex, RMSE=0.01319
  Segment 9: type=sphere, RMSE=0.01536
File valve_0009_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01645
  Segment 1: type=complex, RMSE=0.02058
  Segment 2: type=complex, RMSE=0.02396
